"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","subject","test_year","number_entries","percentage"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Health","Penultimate year",516,"0.9"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","History","Total",291010,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","History","Final year",289923,"99.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","History","Penultimate year",1036,"0.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Hospitality and Catering","Total",39835,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Hospitality and Catering","Final year",39499,"99.2"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Hospitality and Catering","Penultimate year",336,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Information and Communication Technology","Total",24033,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Information and Communication Technology","Final year",23077,"96"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Information and Communication Technology","Penultimate year",956,"4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Land Based Studies","Total",154,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Land Based Studies","Final year",153,"99.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Land Based Studies","Penultimate year",1,"0.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Latin","Total",1,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Latin","Total",8126,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Latin","Final year",1,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Latin","Final year",7819,"96.2"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Latin","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Latin","Penultimate year",289,"3.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Law","Total",24,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Law","Final year",24,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Law","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","FSMQ","Mathematics","Total",5154,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Mathematics","Total",632146,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","FSMQ","Mathematics","Final year",5111,"99.2"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Mathematics","Final year",629963,"99.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","FSMQ","Mathematics","Penultimate year",39,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Mathematics","Penultimate year",1983,"0.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Mathematics AS level","Total",58,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Mathematics AS level","Final year",46,"79.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Mathematics AS level","Penultimate year",9,"15.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Media / Film / TV","Total",26525,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Media / Film / TV","Final year",26218,"98.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Media / Film / TV","Penultimate year",274,"1"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Multimedia","Total",36709,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Multimedia","Final year",36120,"98.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Multimedia","Penultimate year",589,"1.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Music","Total",34256,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 6 Performing Arts Graded Examination","Music","Total",1208,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 7 Performing Arts Graded Examination","Music","Total",739,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 8 Performing Arts Graded Examination","Music","Total",434,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Music","Total",11440,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Music","Final year",33949,"99.1"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 6 Performing Arts Graded Examination","Music","Final year",222,"18.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 7 Performing Arts Graded Examination","Music","Final year",135,"18.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 8 Performing Arts Graded Examination","Music","Final year",81,"18.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Music","Final year",11320,"99"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Music","Penultimate year",261,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 6 Performing Arts Graded Examination","Music","Penultimate year",559,"46.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 7 Performing Arts Graded Examination","Music","Penultimate year",379,"51.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 8 Performing Arts Graded Examination","Music","Penultimate year",240,"55.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Music","Penultimate year",120,"1"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Other Design and Technology","Total",22,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Other Design and Technology","Final year",22,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Other Design and Technology","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Modern Languages","Total",40565,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Modern Languages","Final year",24918,"61.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Modern Languages","Penultimate year",12962,"32"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Sciences","Total",2455,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Sciences","Final year",2040,"83.1"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Sciences","Penultimate year",405,"16.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physical Education","Total",78548,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physical Education","Final year",77997,"99.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physical Education","Penultimate year",534,"0.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Physics","Total",3,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physics","Total",160748,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Physics","Final year",3,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physics","Final year",160160,"99.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Physics","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physics","Penultimate year",498,"0.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Religious Studies","Total",66,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Religious Studies","Total",218637,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Religious Studies","Final year",66,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Religious Studies","Final year",200260,"91.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Religious Studies","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Religious Studies","Penultimate year",18320,"8.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Social Studies","Total",74,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Social Studies","Total",67434,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Social Studies","Final year",73,"98.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Social Studies","Final year",63796,"94.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Social Studies","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Social Studies","Penultimate year",3195,"4.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Spanish","Total",131129,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Spanish","Final year",127792,"97.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Spanish","Penultimate year",1796,"1.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Speech & Drama","Total",12988,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Speech & Drama","Final year",12704,"97.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Speech & Drama","Penultimate year",284,"2.2"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Sports","Total",80277,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Sports","Final year",79432,"98.9"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Sports","Penultimate year",845,"1.1"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Statistics","Total",32577,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Statistics","Final year",23952,"73.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Statistics","Penultimate year",8433,"25.9"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Tourism","Total",7311,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Tourism","Final year",7280,"99.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Tourism","Penultimate year",31,"0.4"
