"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","qualification_detailed","grade_structure","subject","discount_code","subject_discount_group","grade","number_achieving"
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","2",3
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","3",15
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","4",15
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","5",25
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","6",38
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","7",106
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","8",183
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","9",464
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","Total exam entries",851
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","U",1
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Greek","F1K","Greek (Classic)","X",1
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","1",6382
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","2",7796
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","3",9954
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","4",10192
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","5",11783
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","6",12962
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","7",8985
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","8",8960
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","9",8452
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","Covid impacted",1
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","Total exam entries",88763
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","U",2856
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Computer Science","CK1","Computer Science","X",440
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","1",226
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","2",571
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","3",912
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","4",974
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","5",1142
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","6",1248
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","7",841
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Dance","LB1","Dance: General","8",676
