"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","academy_eligibility","pupil_count","disadvantaged_pupil_percent","not_disadvantaged_pupil_percent","ks2_scaledscore_average","eal_pupil_percent","sen_pupil_percent","urns","school_count","converter_school_count","sponsored_school_count","free_school_count","studio_school_count","utc_school_count","disadvantaged_school_count","years3_school_count","years4_school_count","years5plus_school_count","progress8_banding"
"202425","Academic year","MAT","E92000001","England","TR01632","Cornwall Education Learning Trust","5479","7565242","10055139","South West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1115","23","77","z","3","20","136383;136533;136573;145108;147442","5","3","2","0","0","0","5","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01671","The Futures Trust","15732","8678162","10060589","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","801","30","70","z","32","26","140248;142339;145179;148417","4","3","1","0","0","0","4","0","1","3","z"
"202425","Academic year","MAT","E92000001","England","TR01671","The Futures Trust","15732","8678162","10060589","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1130","29","71","z","29","25","138023;140248;142339;145179;148417","5","4","1","0","0","0","5","0","1","3","z"
"202425","Academic year","MAT","E92000001","England","TR01687","The Priory Learning Trust","16417","7698707","10059096","South West","Revised","Multi-academy trust","Included in MAT performance tables","760","24","76","z","6","11","137300;143137;146439","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01687","The Priory Learning Trust","16417","7698707","10059096","South West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","760","24","76","z","6","11","137300;143137;146439","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01688","The Priory Federation Of Academies","4253","6462935","10058228","East Midlands","Revised","Multi-academy trust","Included in MAT performance tables","1003","27","73","z","12","22","135563;135564;135565;136194;138819;145052","6","1","5","0","0","0","6","0","0","6","z"
"202425","Academic year","MAT","E92000001","England","TR01688","The Priory Federation Of Academies","4253","6462935","10058228","East Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1003","27","73","z","12","22","135563;135564;135565;136194;138819;145052","6","1","5","0","0","0","6","0","0","6","z"
"202425","Academic year","MAT","E92000001","England","TR01697","The 318 Education Trust","4264","8064698","10059785","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","630","19","81","z","4","18","138216;139769;143142;147508","4","3","1","0","0","0","4","0","1","3","z"
"202425","Academic year","MAT","E92000001","England","TR01697","The 318 Education Trust","4264","8064698","10059785","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","750","18","82","z","4","17","138216;139143;139769;143142;147508","5","4","1","0","0","0","5","0","1","3","z"
"202425","Academic year","MAT","E92000001","England","TR01710","Qegsmat","16650","7698914","10059103","East Midlands","Revised","Multi-academy trust","Included in MAT performance tables","706","29","71","z","21","17","136972;145132;148639","3","2","1","0","0","0","3","0","1","2","z"
"202425","Academic year","MAT","E92000001","England","TR01710","Qegsmat","16650","7698914","10059103","East Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","706","29","71","z","21","17","136972;145132;148639","3","2","1","0","0","0","3","0","1","2","z"
"202425","Academic year","MAT","E92000001","England","TR01715","The Mercian Trust","16926","7611347","10058703","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","1639","33","67","z","21","10","135449;136620;136773;136777;137974;139789;141698;146383","8","4","3","0","1","0","8","3","0","5","z"
"202425","Academic year","MAT","E92000001","England","TR01715","The Mercian Trust","16926","7611347","10058703","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1639","33","67","z","21","10","135449;136620;136773;136777;137974;139789;141698;146383","8","4","3","0","1","0","8","3","0","5","z"
